"","Year","Yr","ATOS","DnsBay","DnsNear","DnsOff","DnsWayoff","Pupratio","LinDens","Trend5yr"
"32",1985,3,399,0,6.10719825022163,0,0,0.0949367088607595,2.74603174603175,NA
"33",1985,3,400,0,6.57637189668428,0,0,0.0892857142857143,2.9047619047619,NA
"34",1985,3,401,0,6.63057420399592,0,0,0.0887573964497041,2.92063492063492,NA
"35",1985,3,402,0,7.77869526775082,0,0,0.0918918918918919,3.20634920634921,NA
"36",1985,3,403,0,10.2188522462073,0,0,0.0809523809523809,3.6031746031746,NA
"37",1985,3,404,0,10.7541884631047,0,0,0.0921658986175115,3.76190476190476,NA
"38",1985,3,405,0,10.8215286517077,0.115652465338259,0,0.100917431192661,3.80952380952381,NA
"39",1985,3,406,0,10.9389624103712,0.115652465338259,0,0.105990783410138,3.80952380952381,NA
"40",1985,3,407,0,11.5073617516569,0.115652465338259,0,0.126168224299065,3.82539682539683,NA
"41",1985,3,408,0,11.760827124696,0.115652465338259,0,0.140909090909091,3.98412698412698,NA
"42",1985,3,409,0,11.9158579951289,0.115652465338259,0,0.139013452914798,4.03174603174603,NA
"43",1985,3,410,0,11.2219332834326,0.115652465338259,0,0.148514851485149,3.68253968253968,NA
"44",1985,3,411,0,14.2028531706099,0.115652465338259,0,0.162393162393162,4.31746031746032,NA
"45",1985,3,412,0,14.5081464707501,0.115652465338259,0,0.155737704918033,4.47619047619048,NA
"46",1985,3,413,0,14.6831463390034,0.115652465338259,0,0.153846153846154,4.52380952380952,NA
"47",1985,3,414,0,14.5745401877316,0.115652465338259,0,0.151020408163265,4.47619047619048,NA
"48",1985,3,415,0,14.467473086579,0.115652465338259,0,0.153526970954357,4.41269841269841,NA
"49",1985,3,416,0,14.7699478971357,0.115652465338259,0,0.156626506024096,4.57142857142857,NA
"50",1985,3,417,0,14.8849626578497,0.115652465338259,0,0.155378486055777,4.6031746031746,NA
"51",1985,3,418,0,14.3861736818785,0.115652465338259,0,0.161016949152542,4.34920634920635,NA
"52",1985,3,419,0,14.2648336946952,0.115652465338259,0,0.163793103448276,4.28571428571429,NA
"53",1985,3,420,0,12.6488848754058,0.115652465338259,0,0.17989417989418,3.53968253968254,NA
"54",1985,3,421,0,12.4282365384396,0.115652465338259,0,0.177777777777778,3.36507936507937,NA
"55",1985,3,422,0,12.4863454973946,0.115652465338259,0,0.177777777777778,3.36507936507937,NA
"56",1985,3,423,0,11.3521403461765,0.115652465338259,0,0.182389937106918,2.98412698412698,NA
"57",1985,3,424,0,8.98743214797099,0.115652465338259,0,0.254237288135593,2.34920634920635,NA
"58",1985,3,425,0,8.98024270231332,0.115652465338259,0,0.243478260869565,2.26984126984127,NA
"59",1985,3,426,0,9.22232868736027,0,0,0.241379310344828,2.28571428571429,NA
"60",1985,3,427,0,9.04609973890676,0,0,0.234782608695652,2.25396825396825,NA
"61",1985,3,428,0,8.2223144509665,0,0,0.232323232323232,1.93650793650794,NA
"62",1985,3,429,0,8.58770404717701,0,0,0.195876288659794,1.84126984126984,NA
"63",1985,3,430,0,11.494002698623,0,0,0.238805970149254,2.63492063492063,NA
"64",1985,3,431,0,12.6291195629643,0,0,0.191082802547771,2.96825396825397,NA
"65",1985,3,432,0,9.55653183000339,0,0,0.184,2.34920634920635,NA
"66",1985,3,433,0,9.43453961625313,0,0,0.196581196581197,2.22222222222222,NA
"67",1985,3,434,0,11.4665706191552,0,0,0.221374045801527,2.53968253968254,NA
"68",1985,3,435,0,11.6099003392135,0,0,0.227272727272727,2.57142857142857,NA
"69",1985,3,436,0,13.9287419812758,0,0,0.245283018867925,3.14285714285714,NA
"70",1985,3,437,0,14.4704764083979,0,0,0.229813664596273,3.14285714285714,NA
