year,baseline_region,site,species,site_counts_total,density_60m2_mean,density_60m2_sd,density_m2_mean,density_m2_sd
2005,CENTRAL,MACABEE_UC,Strongylocentrotus purpuratus,5,2.5,2.1213203435596424,0.041666666666666664,0.035355339059327376
2005,CENTRAL,MONASTERY_DC,Mesocentrotus franciscanus,3,1.5,0.7071067811865476,0.025,0.011785113019775792
2005,CENTRAL,MONASTERY_DC,Strongylocentrotus purpuratus,6,3,1.4142135623730951,0.05,0.023570226039551584
2005,CENTRAL,MONASTERY_UC,Strongylocentrotus purpuratus,7,3.5,3.5355339059327378,0.058333333333333334,0.05892556509887897
2005,CENTRAL,PESCADERO_DC,Strongylocentrotus purpuratus,2,1,0,0.016666666666666666,0
2005,CENTRAL,PESCADERO_UC,Strongylocentrotus purpuratus,30,30,NA,0.5,NA
2005,CENTRAL,WESTON_DC,Strongylocentrotus purpuratus,1,1,NA,0.016666666666666666,NA
2006,CENTRAL,BLUEFISH_DC,Mesocentrotus franciscanus,2,2,NA,0.03333333333333333,NA
2006,CENTRAL,BLUEFISH_DC,Strongylocentrotus purpuratus,4,2,1.4142135623730951,0.03333333333333333,0.023570226039551587
2006,CENTRAL,BUTTERFLY_DC,Strongylocentrotus purpuratus,1,1,NA,0.016666666666666666,NA
2006,CENTRAL,BUTTERFLY_UC,Strongylocentrotus purpuratus,3,1.5,0.7071067811865476,0.025,0.011785113019775792
2006,CENTRAL,HOPKINS_DC,Mesocentrotus franciscanus,15,3.75,4.856267428111155,0.06249999999999999,0.08093779046851925
2006,CENTRAL,HOPKINS_DC,Strongylocentrotus purpuratus,2,1,0,0.016666666666666666,0
2006,CENTRAL,HOPKINS_UC,Mesocentrotus franciscanus,5,1.25,0.5,0.020833333333333332,0.008333333333333335
2006,CENTRAL,HOPKINS_UC,Strongylocentrotus purpuratus,7,2.3333333333333335,1.1547005383792515,0.03888888888888889,0.01924500897298753
2006,CENTRAL,MACABEE_DC,Mesocentrotus franciscanus,2,1,0,0.016666666666666666,0
2006,CENTRAL,MACABEE_DC,Strongylocentrotus purpuratus,28,7,3.559026084010437,0.11666666666666667,0.05931710140017395
2006,CENTRAL,MACABEE_UC,Strongylocentrotus purpuratus,30,10,8.717797887081348,0.16666666666666666,0.14529663145135577
2006,CENTRAL,MONASTERY_DC,Strongylocentrotus purpuratus,20,6.666666666666666,9.814954576223638,0.1111111111111111,0.16358257627039396
2006,CENTRAL,OTTER_PT_DC,Mesocentrotus franciscanus,2,2,NA,0.03333333333333333,NA
2006,CENTRAL,OTTER_PT_DC,Strongylocentrotus purpuratus,4,2,1.4142135623730951,0.03333333333333333,0.023570226039551587
2006,CENTRAL,OTTER_PT_UC,Mesocentrotus franciscanus,12,6,5.656854249492381,0.1,0.09428090415820634
2006,CENTRAL,OTTER_PT_UC,Strongylocentrotus purpuratus,9,9,NA,0.15,NA
2006,CENTRAL,PESCADERO_DC,Mesocentrotus franciscanus,5,2.5,0.7071067811865476,0.04166666666666667,0.011785113019775794
2006,CENTRAL,PESCADERO_DC,Strongylocentrotus purpuratus,8,4,2.8284271247461903,0.06666666666666667,0.047140452079103175
2006,CENTRAL,PESCADERO_UC,Strongylocentrotus purpuratus,10,10,NA,0.16666666666666666,NA
2006,CENTRAL,STILLWATER_DC,Strongylocentrotus purpuratus,1,1,NA,0.016666666666666666,NA
2006,CENTRAL,STILLWATER_UC,Strongylocentrotus purpuratus,2,2,NA,0.03333333333333333,NA
2006,CENTRAL,WESTON_DC,Strongylocentrotus purpuratus,1,1,NA,0.016666666666666666,NA
2006,CENTRAL,WESTON_UC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2007,CENTRAL,ASILOMAR_DC,Strongylocentrotus purpuratus,4,2,1.4142135623730951,0.03333333333333333,0.023570226039551587
2007,CENTRAL,ASILOMAR_UC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2007,CENTRAL,ASILOMAR_UC,Strongylocentrotus purpuratus,11,5.5,6.363961030678928,0.09166666666666666,0.10606601717798213
2007,CENTRAL,BLUEFISH_DC,Mesocentrotus franciscanus,3,1.5,0.7071067811865476,0.025,0.011785113019775792
2007,CENTRAL,BLUEFISH_DC,Strongylocentrotus purpuratus,13,2.6,2.6076809620810595,0.043333333333333335,0.04346134936801766
2007,CENTRAL,BUTTERFLY_DC,Strongylocentrotus purpuratus,5,1.6666666666666667,1.1547005383792517,0.02777777777777778,0.01924500897298753
2007,CENTRAL,BUTTERFLY_UC,Mesocentrotus franciscanus,2,2,NA,0.03333333333333333,NA
2007,CENTRAL,BUTTERFLY_UC,Strongylocentrotus purpuratus,14,3.5,2.3804761428476167,0.058333333333333334,0.039674602380793615
2007,CENTRAL,CANNERY_DC,Mesocentrotus franciscanus,8,2.6666666666666665,2.081665999466133,0.044444444444444446,0.034694433324435545
2007,CENTRAL,CANNERY_DC,Strongylocentrotus purpuratus,72,18,17.644640357154728,0.3,0.2940773392859122
2007,CENTRAL,CANNERY_UC,Mesocentrotus franciscanus,7,2.3333333333333335,1.5275252316519465,0.03888888888888889,0.02545875386086578
2007,CENTRAL,CANNERY_UC,Strongylocentrotus purpuratus,31,7.75,4.5,0.12916666666666665,0.07500000000000001
2007,CENTRAL,CYPRESS_PT_DC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2007,CENTRAL,CYPRESS_PT_DC,Strongylocentrotus purpuratus,10,2.5,1,0.041666666666666664,0.016666666666666666
2007,CENTRAL,CYPRESS_PT_UC,Strongylocentrotus purpuratus,17,5.666666666666667,6.350852961085883,0.09444444444444444,0.1058475493514314
2007,CENTRAL,HOPKINS_DC,Mesocentrotus franciscanus,11,3.666666666666667,3.7859388972001824,0.06111111111111111,0.06309898162000303
2007,CENTRAL,HOPKINS_DC,Strongylocentrotus purpuratus,12,4,3,0.06666666666666667,0.05
2007,CENTRAL,HOPKINS_UC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2007,CENTRAL,HOPKINS_UC,Strongylocentrotus purpuratus,7,1.75,1.5,0.029166666666666667,0.025
2007,CENTRAL,LONE_TREE,Mesocentrotus franciscanus,5,2.5,2.1213203435596424,0.041666666666666664,0.035355339059327376
2007,CENTRAL,LONE_TREE,Strongylocentrotus purpuratus,11,3.666666666666667,4.618802153517007,0.06111111111111111,0.0769800358919501
2007,CENTRAL,LOVERS_DC,Mesocentrotus franciscanus,31,10.333333333333334,12.096831541082704,0.17222222222222222,0.20161385901804507
