group_code,marine_site_name,site_code,site_lat,site_long,ltm_lat,ltm_long,marine_sort_order,marine_common_year,season_name,marine_season_code,marine_common_season,min_survey_date,max_survey_date,target_assemblage,species_code,size_bin,total,num_plots_sampled,state_province,georegion,bioregion,mpa_designation,mpa_region,mpa_lt_region,mpa_name,island,last_updated
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2011,Fall,FA11,123,2011-10-25,2011-10-25,mytilus,MYTCAL,70,8,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2011,Fall,FA11,123,2011-10-25,2011-10-25,mytilus,MYTCAL,80,1,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2012,Fall,FA12,127,2012-10-17,2012-10-17,mytilus,MYTCAL,90,2,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2012,Fall,FA12,127,2012-10-17,2012-10-17,mytilus,MYTCAL,20,1,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2012,Fall,FA12,127,2012-10-17,2012-10-17,mytilus,MYTCAL,30,4,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2012,Fall,FA12,127,2012-10-17,2012-10-17,mytilus,MYTCAL,40,7,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2012,Fall,FA12,127,2012-10-17,2012-10-17,mytilus,MYTCAL,50,16,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2012,Fall,FA12,127,2012-10-17,2012-10-17,mytilus,MYTCAL,60,9,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2012,Fall,FA12,127,2012-10-17,2012-10-17,mytilus,MYTCAL,70,8,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2012,Fall,FA12,127,2012-10-17,2012-10-17,mytilus,MYTCAL,80,5,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
